trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1877,False,"{'a': 0.01, 'e': 0.15320168853001417}",20,14,13.659054537326156,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1878,False,"{'a': 0.01, 'e': 0.1530485634168012}",30,0,-37.333820830911534,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
1879,False,"{'a': 0.01, 'e': 0.15289559135216438}",35,25,20.278754156558634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1880,False,"{'a': 0.01, 'e': 0.15274277218313168}",25,18,12.986088380132857,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1881,False,"{'a': 0.01, 'e': 0.15259010575688386}",25,13,8.510043558330555,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1882,False,"{'a': 0.01, 'e': 0.15243759192075454}",20,11,16.855902679605894,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1883,False,"{'a': 0.01, 'e': 0.1522852305222298}",25,0,45.321258658357436,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1884,False,"{'a': 0.01, 'e': 0.15213302140894833}",20,3,20.641325074455313,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1885,False,"{'a': 0.01, 'e': 0.1519809644287009}",20,0,7.282519149677867,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1886,False,"{'a': 0.01, 'e': 0.1518290594294306}",20,8,20.34822777796845,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1887,False,"{'a': 0.01, 'e': 0.15167730625923234}",35,16,32.99614751650504,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1888,False,"{'a': 0.01, 'e': 0.15152570476635302}",20,9,6.3924524818158845,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1889,False,"{'a': 0.01, 'e': 0.1513742547991911}",20,11,-28.096058774141483,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
1890,False,"{'a': 0.01, 'e': 0.15122295620629655}",20,16,8.407790503489897,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1891,False,"{'a': 0.01, 'e': 0.15107180883637084}",20,3,25.952980337057365,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1892,False,"{'a': 0.01, 'e': 0.15092081253826656}",25,1,21.28163333426447,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
1893,False,"{'a': 0.01, 'e': 0.15076996716098734}",20,15,-0.5767151864081701,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1894,False,"{'a': 0.01, 'e': 0.15061927255368793}",30,13,31.74864664118719,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1895,False,"{'a': 0.01, 'e': 0.15046872856567356}",30,12,-9.667093060025959,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
1896,False,"{'a': 0.01, 'e': 0.15031833504640033}",30,19,11.561210983921738,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1897,False,"{'a': 0.01, 'e': 0.15016809184547464}",25,2,25.906732523010902,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
1898,False,"{'a': 0.01, 'e': 0.15001799881265335}",20,5,16.70152427995193,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1899,False,"{'a': 0.01, 'e': 0.14986805579784332}",25,11,14.063971325948156,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1900,False,"{'a': 0.01, 'e': 0.14971826265110164}",30,14,9.031612045566545,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
1901,False,"{'a': 0.01, 'e': 0.14956861922263504}",25,17,17.962726452063514,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1902,False,"{'a': 0.01, 'e': 0.14941912536280016}",20,6,10.97859546435288,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1903,False,"{'a': 0.01, 'e': 0.14926978092210305}",35,20,26.908770558873382,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1904,False,"{'a': 0.01, 'e': 0.14912058575119935}",30,19,-2.5999124077541147,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
1905,False,"{'a': 0.01, 'e': 0.1489715397008938}",20,15,3.4368997603542986,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1906,False,"{'a': 0.01, 'e': 0.14882264262214037}",20,12,13.316096749070006,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1907,False,"{'a': 0.01, 'e': 0.14867389436604195}",20,7,9.863196046782747,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1908,False,"{'a': 0.01, 'e': 0.14852529478385032}",30,14,18.280353518671614,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1909,False,"{'a': 0.01, 'e': 0.14837684372696583}",25,8,17.693147850068513,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1910,False,"{'a': 0.01, 'e': 0.14822854104693745}",20,0,-12.135104367562894,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
1911,False,"{'a': 0.01, 'e': 0.14808038659546244}",20,3,27.65913952757391,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1912,False,"{'a': 0.01, 'e': 0.1479323802243864}",20,0,31.09926233812418,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1913,False,"{'a': 0.01, 'e': 0.14778452178570287}",20,6,-29.89136760187462,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
